[2, 10, 6, 1, 0, 48.260117, 0.9933804]
[2, 10, 7, 1, 0, 48.27727, 0.9933804]
[2, 10, 8, 3, 0, 48.317562, 0.99338055]
[2, 10, 9, 2, 0, 48.346573, 0.993381]
[2, 10, 11, 17, 17, 48.3524, 0.9933923]
[2, 10, 14, 67, 67, 48.358234, 0.99343514]
[2, 10, 15, 67, 67, 48.364075, 0.9934095]
[2, 10, 20, 253, 254, 48.381645, 0.9934095]
[2, 10, 21, 106, 106, 48.38752, 0.9934095]
[2, 11, 8, 0, 0, 48.3934, 0.99340963]
[2, 11, 9, 2, 0, 48.422924, 0.99341184]
[2, 11, 10, 1, 0, 48.440735, 0.9934239]
[2, 11, 15, 2, 0, 48.470585, 0.99354154]
[2, 11, 16, 0, 0, 48.476578, 0.99358416]
[2, 11, 17, 3, 0, 48.518772, 0.9935975]
[2, 11, 19, 251, 253, 48.549164, 0.99359727]
[2, 12, 15, 1, 0, 48.5675, 0.99386233]
[2, 12, 16, 2, 0, 48.598236, 0.9939768]
[2, 12, 18, 234, 233, 48.616783, 0.9939815]
[2, 12, 19, 252, 255, 48.660366, 0.99398124]
[2, 12, 21, 2, 0, 48.69177, 0.99398124]
[2, 13, 14, 1, 0, 48.71072, 0.99460053]
[2, 13, 15, 1, 0, 48.72976, 0.99498224]
[2, 13, 16, 1, 0, 48.748875, 0.9951358]
[2, 13, 17, 129, 129, 48.75527, 0.995173]
[2, 13, 18, 251, 254, 48.80027, 0.99516857]
[2, 14, 14, 1, 0, 48.8197, 0.99572986]
[2, 14, 15, 4, 0, 48.878525, 0.9961526]
[2, 14, 19, 62, 62, 48.88511, 0.99615204]
[2, 14, 20, 3, 0, 48.931484, 0.99615204]
[2, 15, 8, 0, 0, 48.938152, 0.9961525]
[2, 15, 9, 1, 0, 48.958214, 0.9961564]
[2, 15, 12, 0, 0, 48.964924, 0.99635327]
[2, 15, 13, 0, 0, 48.971638, 0.99664956]
[2, 15, 14, 2, 0, 49.005383, 0.9969853]
[2, 15, 15, 1, 0, 49.025757, 0.9971768]
[2, 15, 16, 134, 133, 49.018955, 0.99710613]
[2, 15, 17, 249, 254, 49.094368, 0.9970983]
[2, 15, 20, 2, 0, 49.129086, 0.99709845]
[2, 16, 13, 0, 0, 49.13606, 0.9972092]
[2, 16, 14, 3, 0, 49.185215, 0.9973503]
[2, 16, 17, 247, 248, 49.206448, 0.99734443]
[2, 16, 19, 0, 0, 49.21355, 0.9973445]
